player_id,season,team_abbr,gp,mp,pts,trb,ast,fgm,fga,ftm,fta,fg3m,fg3a,stl,blk,tov,po_gp,po_mp,po_pts,po_trb,po_ast,team_srs,ws
76003,1979,LAL,80,3157,1903,1025,431,777,1347,349,474,,,76,316,282,8,367,228,101,38,2.9462,14.4
76003,1980,LAL,82,3143,2034,886,371,835,1383,364,476,0,1,81,280,297,15,618,479,181,46,5.3936,14.8
76003,1981,LAL,80,2976,2095,821,272,836,1457,423,552,0,1,59,228,249,3,134,80,50,12,3.2728,14.3
76003,1982,LAL,76,2677,1818,659,225,753,1301,312,442,0,3,63,207,230,14,493,285,119,51,4.3692,10.7
76003,1983,LAL,79,2554,1722,592,200,722,1228,278,371,0,2,61,170,200,15,588,406,115,42,5.0616,10.9
76003,1984,LAL,80,2622,1717,587,211,716,1238,285,394,0,1,55,143,221,21,767,502,173,79,3.3199,8.9
76003,1985,LAL,79,2630,1735,622,249,723,1207,289,395,0,1,63,162,197,19,610,416,154,76,6.4831,11.2
76003,1986,LAL,79,2629,1846,478,280,755,1338,336,439,0,2,67,130,203,14,489,362,83,49,6.8409,10.8
76003,1987,LAL,78,2441,1366,523,203,560,993,245,343,1,3,49,97,186,18,559,345,123,36,8.3211,7.5
76003,1988,LAL,80,2308,1165,478,135,480,903,205,269,0,1,48,92,159,24,718,338,131,36,4.8128,5.3
76003,1989,LAL,74,1695,748,334,74,313,659,122,165,0,3,38,85,95,15,351,167,59,19,6.3841,2.9
76375,1960,PHW,72,3338,2707,1941,168,1065,2311,577,991,,,,,,9,415,299,232,19,2.7721,17.0
76375,1961,PHW,79,3773,3033,2149,148,1251,2457,531,1054,,,,,,3,144,111,69,6,0.8793,18.8
76375,1962,PHW,80,3882,4029,2052,192,1597,3159,835,1363,,,,,,12,576,420,319,37,2.6342,23.1
76375,1963,SFW,80,3806,3586,1946,275,1463,2770,660,1113,,,,,,,,,,,-1.8631,20.9
76375,1964,SFW,80,3689,2948,1787,403,1204,2298,540,1016,,,,,,12,558,416,302,39,4.3902,25.0
76375,1965,PHL/SFW,73,3301,2534,1673,250,1063,2083,408,880,,,,,,11,536,322,299,48,-2.9212,15.1
76375,1966,PHL,79,3737,2649,1943,414,1074,1990,501,976,,,,,,5,240,140,151,15,4.1556,21.4
76375,1967,PHL,81,3682,1956,1957,630,785,1150,386,875,,,,,,15,718,326,437,135,8.5,21.9
76375,1968,PHL,82,3836,1992,1952,702,819,1377,354,932,,,,,,13,631,308,321,85,7.9558,20.4
76375,1969,LAL,81,3669,1664,1712,366,641,1099,382,857,,,,,,18,832,250,444,46,3.8422,14.7
76375,1970,LAL,12,505,328,221,49,129,227,70,157,,,,,,18,851,398,399,81,1.7562,2.3
76375,1971,LAL,82,3630,1696,1493,352,668,1226,360,669,,,,,,12,554,220,242,53,3.2633,12.6
76375,1972,LAL,82,3469,1213,1572,329,496,764,221,524,,,,,,15,703,220,315,49,11.6521,15.8
76375,1973,LAL,82,3542,1084,1526,365,426,586,232,455,,,,,,17,801,177,383,60,8.1544,18.2
77142,1980,LAL,77,2795,1387,596,563,503,949,374,462,7,31,187,41,305,16,658,293,168,151,5.3936,10.5
77142,1981,LAL,37,1371,798,320,317,312,587,171,225,3,17,127,27,143,3,127,51,41,21,3.2728,6.4
77142,1982,LAL,78,2991,1447,751,743,556,1036,329,433,6,29,208,34,286,14,562,243,158,130,4.3692,12.9
77142,1983,LAL,79,2907,1326,683,829,511,933,304,380,0,21,176,47,301,15,643,268,128,192,5.0616,12.5
77142,1984,LAL,67,2567,1178,491,875,441,780,290,358,6,29,150,49,306,21,837,382,139,284,3.3199,10.2
77142,1985,LAL,77,2781,1406,476,968,504,899,391,464,7,37,113,25,305,19,687,333,134,289,6.4831,12.7
77142,1986,LAL,72,2578,1354,426,907,483,918,378,434,10,43,113,16,273,14,541,302,100,211,6.8409,12.1
77142,1987,LAL,80,2904,1909,504,977,683,1308,535,631,8,39,138,36,300,18,666,392,139,219,8.3211,15.9
77142,1988,LAL,72,2637,1408,449,858,490,996,417,489,11,56,114,13,269,24,965,477,130,303,4.8128,10.9
77142,1989,LAL,77,2886,1730,607,988,579,1137,513,563,59,188,138,22,312,14,518,258,83,165,6.3841,16.1
77142,1990,LAL,79,2937,1765,522,907,546,1138,567,637,106,276,132,34,289,9,376,227,57,115,6.7387,16.5
77142,1991,LAL,79,2933,1531,551,989,466,976,519,573,80,250,102,17,314,19,823,414,154,240,6.7298,15.4
77142,1996,LAL,32,958,468,183,220,137,294,172,201,22,58,26,13,103,4,135,61,34,26,4.2069,3.6
77449,1977,BUF/HOU,82,2506,1083,1072,89,389,810,305,440,,,67,181,,12,518,225,203,7,1.3017,8.7
